Tcmb TR Beta
2.729565609234259504e+00 1.229550983196758152e+00 -2.644496605188312088e+00
2.729833098298986016e+00 1.156860461554273911e+00 -2.573555995755956616e+00
2.734534968806731747e+00 1.063568387497151546e+00 -2.628266415478494267e+00
2.734245097242429701e+00 1.229617556581621196e+00 -2.629595374577914590e+00
2.730521008863889598e+00 1.196049093865057200e+00 -2.676926926048100341e+00
2.728151771787612034e+00 1.168267319557755535e+00 -2.634299426594600035e+00
2.735302253569907194e+00 1.082976347970146414e+00 -2.677894797688223250e+00
2.728808376131589775e+00 1.414152586677807744e+00 -2.616626690524251231e+00
2.729628002076260884e+00 1.210707095507943754e+00 -2.610168205249906670e+00
2.723349753215564384e+00 1.313513383133661838e+00 -2.477506713642282143e+00
2.729746008226731746e+00 1.313297254030277639e+00 -2.581998436215361181e+00
2.727013209567354046e+00 1.360436549913878190e+00 -2.634818884441118669e+00
2.733799503225363026e+00 1.022957664415812928e+00 -2.668019386054576003e+00
2.731850289942098442e+00 1.192051224240481710e+00 -2.643355066242135010e+00
2.725333716377597693e+00 1.323291290582576440e+00 -2.625065613811128351e+00
2.725427724563901144e+00 1.258862621036860308e+00 -2.622954148976703870e+00
2.731663847861903083e+00 1.100776581764374429e+00 -2.607280309168094057e+00
2.728432035734043470e+00 1.292362735855488332e+00 -2.655067141684101628e+00
2.732603717106431240e+00 1.201450177621557369e+00 -2.589633088485675749e+00
2.729928758874468286e+00 1.146440064746725662e+00 -2.607187208236573461e+00
2.724243870084074981e+00 1.156470719229517830e+00 -2.522241490488426052e+00
2.730707273572313021e+00 1.192003752956574125e+00 -2.669499236787590490e+00
2.732168377288402450e+00 1.103194499639485793e+00 -2.661133783657271046e+00
2.726861266295942166e+00 1.433322938819098447e+00 -2.570472126828912351e+00
2.731184684666449591e+00 1.085308156985730799e+00 -2.657926602146948092e+00
2.730214938132689451e+00 1.171044213902784126e+00 -2.656111846542738242e+00
2.729846957422758180e+00 1.178862580583695641e+00 -2.621414563211745374e+00
2.732031212235066953e+00 1.255867109886430022e+00 -2.598242545017122040e+00
2.730421352141759961e+00 1.208767526221589339e+00 -2.566514699126317467e+00
2.717723684735532608e+00 1.359855297985471001e+00 -2.581197019911933843e+00
2.725574669465084643e+00 1.259793179292958865e+00 -2.606489484101727427e+00
2.732019587507377612e+00 9.254692965339740285e-01 -2.692563036108886365e+00
