01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:29 [ultranest] [DEBUG] iteration=990, ncalls=2581, regioncalls=8000, ndraw=1000, logz=-79023.61, remainder_fraction=100.0000%, Lmin=-78629.75, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=1006, ncalls=2670, regioncalls=9000, ndraw=1000, logz=-71650.86, remainder_fraction=100.0000%, Lmin=-71556.99, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=1020, ncalls=2670, regioncalls=9000, ndraw=1000, logz=-61608.97, remainder_fraction=100.0000%, Lmin=-61531.80, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1042, ncalls=2749, regioncalls=10000, ndraw=1000, logz=-56087.81, remainder_fraction=100.0000%, Lmin=-55639.53, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1050, ncalls=2749, regioncalls=10000, ndraw=1000, logz=-54013.32, remainder_fraction=100.0000%, Lmin=-53965.61, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1064, ncalls=2821, regioncalls=11000, ndraw=1000, logz=-51286.77, remainder_fraction=100.0000%, Lmin=-50778.97, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1080, ncalls=2821, regioncalls=11000, ndraw=1000, logz=-46089.69, remainder_fraction=100.0000%, Lmin=-45731.56, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1094, ncalls=2905, regioncalls=12000, ndraw=1000, logz=-43147.67, remainder_fraction=100.0000%, Lmin=-42813.11, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1110, ncalls=2905, regioncalls=12000, ndraw=1000, logz=-38343.38, remainder_fraction=100.0000%, Lmin=-38267.12, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1117, ncalls=2966, regioncalls=13000, ndraw=1000, logz=-37807.11, remainder_fraction=100.0000%, Lmin=-37432.49, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1132, ncalls=3042, regioncalls=14000, ndraw=1000, logz=-35503.38, remainder_fraction=100.0000%, Lmin=-35492.78, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1140, ncalls=3042, regioncalls=14000, ndraw=1000, logz=-34269.75, remainder_fraction=100.0000%, Lmin=-33948.01, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1162, ncalls=3122, regioncalls=15000, ndraw=1000, logz=-29762.77, remainder_fraction=100.0000%, Lmin=-29722.47, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1170, ncalls=3122, regioncalls=15000, ndraw=1000, logz=-29043.35, remainder_fraction=100.0000%, Lmin=-28956.29, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1184, ncalls=3196, regioncalls=16000, ndraw=1000, logz=-27645.08, remainder_fraction=100.0000%, Lmin=-27528.33, Lmax=-11.53
01:43:30 [ultranest] [DEBUG] iteration=1200, ncalls=3196, regioncalls=16000, ndraw=1000, logz=-24517.05, remainder_fraction=100.0000%, Lmin=-23698.08, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1206, ncalls=3261, regioncalls=17000, ndraw=1000, logz=-23109.76, remainder_fraction=100.0000%, Lmin=-23082.18, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1226, ncalls=3314, regioncalls=18000, ndraw=1000, logz=-20762.08, remainder_fraction=100.0000%, Lmin=-20628.53, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1230, ncalls=3314, regioncalls=18000, ndraw=1000, logz=-20335.43, remainder_fraction=100.0000%, Lmin=-20241.61, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1245, ncalls=3362, regioncalls=19000, ndraw=1000, logz=-18816.85, remainder_fraction=100.0000%, Lmin=-18726.48, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1260, ncalls=3422, regioncalls=20000, ndraw=1000, logz=-17203.20, remainder_fraction=100.0000%, Lmin=-17152.60, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1271, ncalls=3483, regioncalls=21000, ndraw=1000, logz=-16291.42, remainder_fraction=100.0000%, Lmin=-16066.28, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1289, ncalls=3531, regioncalls=22000, ndraw=1000, logz=-15101.69, remainder_fraction=100.0000%, Lmin=-15011.46, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1290, ncalls=3531, regioncalls=22000, ndraw=1000, logz=-15021.46, remainder_fraction=100.0000%, Lmin=-14963.17, Lmax=-11.53
01:43:31 [ultranest] [DEBUG] iteration=1301, ncalls=3583, regioncalls=23000, ndraw=1000, logz=-14424.60, remainder_fraction=100.0000%, Lmin=-14406.97, Lmax=-11.53
